,importance,name
703,0.028236281920463416,sensor1__standard_deviation
646,0.02397646907170319,sensor1__maximum
9,0.02078647742309808,sensor0__cid_ce__normalize_False
702,0.020744876002645345,sensor1__variance
13,0.01984911184015272,sensor0__abs_energy
8,0.018246087216157978,"sensor0__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0"
865,0.01732277162979522,sensor1__abs_energy
1260,0.016285312454939253,sensor1__c3__lag_1
29,0.014989144551447254,"sensor0__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2"
117,0.014829095635260841,"sensor0__cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)"
567,0.014381750500099854,"sensor1__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)"
27,0.014312809895109206,"sensor0__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4"
74,0.014098597198914695,"sensor0__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2"
129,0.013421288800051993,"sensor0__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)"
1299,0.013105716214130472,sensor1__sum_values
5,0.01300253105128683,"sensor0__linear_trend__attr_""stderr"""
792,0.012837225845106446,"sensor1__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)"
1273,0.012746796500247737,sensor1__quantile__q_0.9
0,0.012559771657046312,"sensor0__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var"""
1298,0.012197326770537118,"sensor1__fft_coefficient__attr_""real""__coeff_0"
1272,0.011525104908983475,"sensor1__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)"
10,0.011512442621154917,"sensor0__fft_coefficient__attr_""abs""__coeff_3"
2,0.01110706029140292,"sensor0__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0"
989,0.010721073520645292,"sensor1__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)"
42,0.010564382390331443,sensor1__time_reversal_asymmetry_statistic__lag_3
595,0.010483375676811008,"sensor1__linear_trend__attr_""stderr"""
165,0.010258469617213599,"sensor0__fft_coefficient__attr_""real""__coeff_0"
155,0.010253557217065007,"sensor0__fft_coefficient__attr_""abs""__coeff_0"
1040,0.009980363676749376,"sensor1__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2"
108,0.009895476856013299,"sensor1__cwt_coefficients__coeff_13__w_5__widths_(2, 5, 10, 20)"
167,0.009727193348964774,sensor0__mean
7,0.009290981108584725,sensor0__standard_deviation
24,0.009197892948983964,"sensor0__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0"
43,0.008150789570196892,"sensor0__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2"
22,0.007832407668584418,sensor0__absolute_sum_of_changes
1304,0.007743057498283875,"sensor1__fft_coefficient__attr_""abs""__coeff_0"
582,0.007561572508086109,"sensor1__cwt_coefficients__coeff_11__w_10__widths_(2, 5, 10, 20)"
40,0.00743023450114474,"sensor0__fft_coefficient__attr_""abs""__coeff_2"
125,0.007393673287635172,"sensor0__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)"
1110,0.007174058046856197,"sensor1__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)"
724,0.0070941850825757356,"sensor1__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0"
449,0.0070083652158401686,sensor1__cid_ce__normalize_False
412,0.006962109766539975,"sensor1__cwt_coefficients__coeff_12__w_10__widths_(2, 5, 10, 20)"
221,0.006857805818964093,"sensor1__cwt_coefficients__coeff_14__w_10__widths_(2, 5, 10, 20)"
166,0.0068231715572823915,sensor0__sum_values
856,0.00672112334230732,"sensor1__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2"
725,0.006678541707632975,sensor1__mean_abs_change
105,0.0066535433307243685,"sensor2__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0"
1120,0.00664651318223527,"sensor1__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)"
1208,0.006614075569866576,"sensor1__cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)"
1282,0.006603664688166271,"sensor1__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)"
48,0.00659896445872027,"sensor0__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4"
146,0.006433642046065852,"sensor1__cwt_coefficients__coeff_12__w_5__widths_(2, 5, 10, 20)"
107,0.006333803697597668,"sensor0__cwt_coefficients__coeff_14__w_10__widths_(2, 5, 10, 20)"
215,0.0061625998683367475,"sensor1__cwt_coefficients__coeff_11__w_5__widths_(2, 5, 10, 20)"
263,0.006124313667077421,"sensor1__fft_coefficient__attr_""abs""__coeff_3"
192,0.006074457168436831,sensor1__time_reversal_asymmetry_statistic__lag_2
866,0.0059719842810852805,sensor1__root_mean_square
1100,0.005598380646219226,"sensor1__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)"
12,0.005436838561895314,sensor0__root_mean_square
68,0.0053575486438321015,sensor0__quantile__q_0.9
52,0.0053083254739460396,"sensor0__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean"""
604,0.004968885549337505,"sensor1__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2"
1218,0.004733025924950698,"sensor1__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)"
23,0.004703727338073083,sensor0__mean_abs_change
927,0.004640754218384223,"sensor1__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4"
1002,0.004609746571223554,"sensor1__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4"
1018,0.00460734938355432,"sensor1__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)"
607,0.004137476824762735,"sensor1__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4"
15,0.004130529421736224,sensor0__minimum
